og,oo,cg,co
Tsinghua_University_A,University_of_Alberta_B,Turan_A,Bates_College_LA
Debatte_Karlsruhe_e.V._Germany_KIT,The_University_of_Tokyo_C,The_Hong_Kong_Polytechnic_University_A,Waseda_University_Japan_X
University_of_Cape_Town_B,Queenâ€™s_Debating_Union_Queenâ€™s_University_B,National_University_of_Singapore_C,Ateneo_de_Manila_University_SY
Fordham_University_B,University_of_Technology_MARA_B,University_of_Ottawa_A,Universitas_Indonesia_1
University_of_Sydney_Union_A,Queenâ€™s_Debating_Union_Queenâ€™s_University_A,University_College_London_A,Stanford_University_B
University_of_Auckland_D,Atma_Jaya_Catholic_University_Of_Indonesia_A,The_University_of_Melbourne_B,Vellore_Institute_of_Technology_A
University_of_Colombo_Sri_Lanka_A_ðŸ’»,Davidson_College_1,Doshisha_University_A,Macau_University_of_Science_and_Technology_C
Sekolah_Tinggi_Bahasa_Asing_-_Persahabatan_International_Asia_A,Chulalongkorn_University_C,Seoul_National_University_A,University_of_Alberta_A
KNUST_OBUASI_CAMPUS_A_ðŸ’»,Split_Debating_Union_-_University_of_Split_A,Macquarie_University_B,Universitas_Gadjah_Mada_A
University_of_Auckland_A,University_of_Chicago_A,University_of_Western_Ontario_Debate_Society_A,Australian_National_University_A
University_of_Bucharest_Romania_B,Columbia_University_C,University_of_the_Philippines_Los_BaÃ±os_A,Singapore_Management_University_C
Diplomatic_Academy_of_Vietnam_C,Vanderbilt_University_A,National_Economics_University_A,BeiHang_University_A
Indira_Gandhi_National_Open_University_A,Bates_College_CN,Yonsei_University_KC,Hart_House_B
FPT_University_Sirius,Manado_State_University_MSU,President_University_Indonesia_A,Jahangirnagar_University_A_ðŸ’»
Cambridge_Union_Society_C,Princeton_University_D,Sciences_Po_A,University_of_the_Philippines_Diliman_B
Yale_University_A,Nanyang_Technological_University_D,University_of_Alaska_Anchorage_A,De_La_Salle_University_PG
Swarthmore_College_A,Telkom_University_Telkom,University_of_Edinburgh_Debates_Union_A,Stanford_University_F
Tenaga_Nasional_University_Malaysia_A,The_University_of_Hong_Kong_D,University_of_Santo_Tomas_A,Sciences_Po_C
Cornell_University_A,Indian_Institute_of_Technology_Bombay_B,University_of_California_Berkeley_A,Macquarie_University_A
The_University_Philosophical_Society_B,De_La_Salle_University_HD,Hart_House_C,University_of_Waterloo_Canada_C
Midlands_State_University_A,Amherst_College_MZ,University_of_Belgrade_D,Waseda_University_Japan_B
Universidad_San_Francisco_de_Quito_DS,University_of_Warsaw_Warsaw_Poland_A,The_University_Philosophical_Society_A,National_University_of_Singapore_B
University_of_Oxford_A,University_of_Zagreb_A,Stanford_University_A,University_of_Belgrade_A
Stanford_University_D,University_of_California_Los_Angeles_A,University_of_Oxford_B,Princeton_University_G
Trinity_College_Hist_(College_Historical_Society_Trinity_College_Dublin)_AH,University_of_Pennsylvania_B,Drexel_University_B,University_of_British_Columbia_A
Deen_Dayal_Upadhyaya_College_A,Singapore_Management_University_B,Independent_University_Bangladesh_A,Victoria_University_of_Wellington_V1
Diplomatic_Academy_of_Vietnam_A,Universidad_del_Rosario_A,University_of_Adelaide_1,Symbiosis_Law_School_Pune_A
Hobart_and_William_Smith_Colleges_B,Princeton_University_A,University_of_Auckland_B,National_Law_Institute_University_Bhopal_A
Instituto_TecnolÃ³gico_y_de_Estudios_Superiores_de_Monterrey_Campus_Estado_de_MÃ©xico_A,Cambridge_Union_Society_A,Middlebury_College_SW,University_of_Belgrade_E
Joint,ETH_Zurich/University_of_Zurich_A,Diplomatic_Academy_of_Vietnam_B,Hanyang_University_A
Hankuk_University_of_Foreign_Studies_A,University_of_Queensland_A,Ateneo_de_Manila_University_CF,University_of_Queensland_B
Stanford_University_G,University_of_Canterbury_A,Brown_University_A,University_of_New_South_Wales_E
Ateneo_de_Manila_University_BG,Stanford_University_E,University_of_Arts_Belgrade_A,The_University_of_Melbourne_A
Fordham_University_C,Brawijaya_University_A,The_University_of_Hong_Kong_C,The_University_of_Hong_Kong_B
University_of_Southern_California_A,Brickfields_Asia_College_Malaysia_B,National_University_of_Singapore_D,Colgate_University_A
University_of_St_Andrews_A_ðŸ’»,McGill_University_B,Indian_Institute_of_Technology_Bombay_A,Ateneo_de_Manila_University_TV
Carleton_University_A,Rhodes_University_1,Beijing_Foreign_Studies_University_A,Macau_University_of_Science_and_Technology_B
Thammasat_University_Thailand_A,University_of_Queensland_C,Foreign_Trade_University_A,Macquarie_University_C
Dartmouth_College_B,Victoria_University_of_Wellington_2,Lewis_&_Clark_College_A,Fudan_University_A
University_of_Technology_MARA_C,University_of_New_South_Wales_D,University_of_Auckland_C,Indian_Institute_of_Technology_Bombay_C
Ateneo_de_Davao_University_A,Middlebury_College_CG,Keio_University_Japan_SG,University_of_Rochester_IL
University_of_Sydney_Union_D,Harvard_College_C,Dartmouth_College_A,Columbia_University_A
University_of_Technology_MARA_D,Royal_Institute_of_Colombo_A,Amherst_College_GD,FPT_University_IT
University_of_Chicago_B,Tel_Aviv_University_A,University_of_Sydney_Union_B,University_of_Sydney_Union_G
Sunway_University_Malaysia_A,Osaka_University_Japan_A,National_University_of_Singapore_A,University_of_Sydney_Union_C
Vanderbilt_University_B,Kwame_Nkrumah_University_of_Science_and_Technology_B,University_of_Waterloo_Canada_B,Brown_University_HK
University_of_the_Philippines_Diliman_A,University_of_Bucharest_Romania_A,University_of_Sydney_Union_E,Princeton_University_E
Swing_1,Columbia_University_B,Nanyang_Technological_University_C,Middlebury_College_SS
Sunway_University_Malaysia_B,Cornell_University_C,University_of_Zimbabwe_A_ðŸ’»,Yonsei_University_PL
Cornell_University_B,Dartmouth_College_C,Durham_University_AW,Delhi_Technological_University_1
FPT_University_A,The_University_of_Hong_Kong_A,Colgate_University_C,Chulalongkorn_University_B
Kwame_Nkrumah_University_of_Science_and_Technology_A,Yale_University_B,University_of_Sydney_Union_H,Harvard_College_D
Midlands_State_University_B,University_of_Chicago_D,International_Islamic_University_Malaysia_B,Durham_University_RS
Universitas_Udayana_A,Duke_University_A,The_University_of_Tokyo_D,Haifa_University_A_ðŸ’»
University_Of_Stellenbosch_Debate_Union_A,University_of_Cape_Town_A,Glasgow_University_Union_A,Stanford_University_C
Mindanao_State_University_-_General_Santos_City_A_ðŸ’»,Cambridge_Union_Society_D,Brickfields_Asia_College_Malaysia_A,Colgate_University_B
Bina_Nusantara_University_B,McGill_University_A,University_of_New_South_Wales_B,University_of_Sydney_Union_F
Chulalongkorn_University_A,RMIT_University_A,Hobart_and_William_Smith_Colleges_A,Trinity_College_Hist_(College_Historical_Society_Trinity_College_Dublin)_CF
Keio_University_Japan_YF,De_La_Salle_University_EJ,Strathmore_University_A,McGill_University_C
University_College_London_B,Singapore_Management_University_D,Weizmann_Institute_of_Science_A,Nanyang_Technological_University_B
Hanyang_University_B,City_University_of_Hong_Kong_HK,Macau_University_of_Science_and_Technology_A,University_of_Macau_B
Hankuk_University_of_Foreign_Studies_B,Princeton_University_B,Redacted_A_ðŸ’»,Duke_University_B
Yale-NUS_College_A,Fordham_University_A,University_of_Wollongong_A,Drexel_University_A_ðŸ’»
Brickfields_Asia_College_Malaysia_C,University_of_Ilorin_Nigeria_A_ðŸ’»,International_Islamic_University_Malaysia_A,University_of_Macau_A
Australian_National_University_B,Cambridge_Union_Society_B,The_University_of_Tokyo_A,University_of_Technology_MARA_A
University_of_New_South_Wales_C,Harvard_College_E,Harvard_College_A,University_of_New_South_Wales_A
Princeton_University_C,University_of_Cape_Town_C,University_of_Western_Ontario_Debate_Society_B,University_of_Waterloo_Canada_A
Singapore_University_of_Social_Sciences_A,Higher_School_of_Economics_(Saint-Petersburg)_A,University_of_Belgrade_B,Sciences_Po_B
University_of_Oxford_C,The_University_of_Tokyo_B,Bina_Nusantara_University_A,Kwame_Nkrumah_University_of_Science_and_Technology_C_ðŸ’»
Hart_House_A,University_of_Pennsylvania_A,Ateneo_de_Manila_University_LN,The_University_of_Melbourne_C
University_of_Chicago_C,Berlin_Debating_Union_A,Princeton_University_F,Bates_College_MB
Duke_University_C,University_of_Belgrade_C,Multimedia_University_A,The_Chinese_University_of_Hong_Kong_A
Queensland_University_of_Technology_A,Harvard_College_B,McGill_University_D,Nanyang_Technological_University_A
